iso,country,date,grocery_pharmacy,parks,residential,retail_recreation,transit_stations,workplaces,total_cases,fatalities,population,gdp_ppp,health_system_index,human_development_index,response_stringency_index,age_above_65_percentage
IN,India,2/23/2020,-1.192,0.717,0.969,-2.077,-0.484,2.213,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,2/24/2020,0.036,2.103,0.189,-1.264,0.882,4.271,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,2/25/2020,-1.737,2.65,0.128,-0.691,1.087,1.055,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,2/26/2020,-0.197,1.497,-0.683,0.358,2.629,3.25,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,2/27/2020,-0.699,3.362,-0.205,-0.678,0.97,3.596,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,2/28/2020,1.423,3.224,0.039,0.287,1.49,4.656,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,2/29/2020,-0.78,-0.819,0.32,-1.767,0.247,7.707,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,3/1/2020,3.565,0.657,0.752,0.967,0.347,3.381,3,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,3/2/2020,2.476,2.754,0.162,-0.257,-0.047,4.848,5,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,3/3/2020,1.799,2.918,0.082,-0.75,0.34,3.572,6,0,1366417754,9027,0.617,0.647,0.1019,6
IN,India,3/4/2020,5.344,0.892,0.001,0.456,2.705,6.921,28,0,1366417754,9027,0.617,0.647,0.1574,6
IN,India,3/5/2020,2.983,2.627,0.362,-0.729,1.772,4.969,30,0,1366417754,9027,0.617,0.647,0.2685,6
IN,India,3/6/2020,2.058,-0.322,1.008,-1.308,2.624,4.825,31,0,1366417754,9027,0.617,0.647,0.2685,6
IN,India,3/7/2020,5.812,1.78,0.112,0.24,4.909,6.876,34,0,1366417754,9027,0.617,0.647,0.2685,6
IN,India,3/8/2020,8.745,1.71,0.2,2.16,3.201,6.03,39,0,1366417754,9027,0.617,0.647,0.2685,6
IN,India,3/9/2020,5.905,4.058,3.498,-1.361,-6.067,-12.394,44,0,1366417754,9027,0.617,0.647,0.2685,6
